episode,total_reward,step_count,success,success_rate,duration_s,epsilon,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count,action_8_count,action_9_count,most_used_action,scenario,loss,q_mean,q_max
151,-249.8,65,0,0.3046,66.12,0.46912,3,2,4,3,3,2,2,29,15,2,radar_on,Escort1,250.25737,24.448019,42.342537
152,-396.2,64,0,0.3026,73.16,0.46678,3,0,1,4,5,4,4,14,2,27,move_to_target,Escort1,203.653503,24.437046,43.105186
153,-818.4,170,0,0.3007,162.53,0.46444,12,11,8,9,6,8,8,56,44,8,radar_on,Escort2,223.983368,24.323277,43.292686
154,-246.1,66,0,0.2987,65.11,0.46212,0,3,4,12,2,2,2,24,5,12,radar_on,Escort1,226.165955,25.453617,44.964138
155,-642.6,171,0,0.2968,165.44,0.45981,13,13,15,14,7,4,5,51,45,4,radar_on,Escort2,213.105988,25.88352,44.464417
156,-136.84,93,1,0.3013,82.93,0.45751,6,5,11,43,1,3,4,8,8,4,attack_slot_0,LandStrike 1,189.22728,25.968136,44.277916
157,-1084.359,234,0,0.2994,229.0,0.45522,14,9,15,76,16,17,10,15,54,8,attack_slot_0,LandStrike 1,192.613358,26.015549,45.509258
158,-141.1,20,0,0.2975,24.38,0.45295,0,1,0,3,1,0,0,8,7,0,radar_on,Escort1,180.182037,26.34375,44.485065
159,-702.0,164,0,0.2956,152.43,0.45068,22,10,6,9,2,6,9,54,40,6,radar_on,Escort2,243.77977,26.072828,45.895588
160,-132.74,92,1,0.3,87.33,0.44843,5,6,3,13,5,2,2,41,8,7,radar_on,LandStrike 1,206.972229,25.48217,44.833401
161,-458.92,163,1,0.3043,170.39,0.44619,12,6,12,4,6,7,7,54,46,9,radar_on,Escort2,184.463211,25.665154,45.317223
162,-256.4,69,0,0.3025,69.37,0.44396,3,3,5,9,5,0,2,21,21,0,radar_on,Escort1,211.261002,25.733965,46.739613
163,-769.4,159,0,0.3006,155.91,0.44174,10,6,10,5,6,5,14,46,52,5,radar_off,Escort2,188.678345,26.601748,48.292236
164,-222.8,24,0,0.2988,28.54,0.43953,1,1,0,7,1,0,1,6,6,1,attack_slot_0,Escort2,228.891922,26.564016,48.256832
165,-216.9,21,0,0.297,24.39,0.43733,0,1,1,0,0,4,0,6,9,0,radar_off,Escort1,59.090076,26.536514,46.891781
166,-693.5,159,0,0.2952,162.18,0.43514,9,8,13,12,5,9,7,44,49,3,radar_off,Escort2,189.92952,26.705492,47.904839
167,-348.4,67,0,0.2934,78.64,0.43297,1,1,3,9,2,3,5,20,22,1,radar_off,Escort1,184.726807,26.467417,47.538551
168,-191.7,23,0,0.2917,24.38,0.4308,1,3,2,1,0,0,1,8,7,0,radar_on,Escort1,131.360123,26.842762,47.306347
169,-287.321,119,1,0.2959,112.63,0.42865,3,2,5,40,5,6,7,20,24,7,attack_slot_0,LandStrike 1,238.928635,26.908253,48.568298
170,-252.4,69,0,0.2941,68.77,0.4265,3,2,3,9,2,4,2,29,11,4,radar_on,Escort1,167.662521,27.530245,48.882725
171,-324.1,71,0,0.2924,68.93,0.42437,2,4,2,5,2,3,4,38,9,2,radar_on,Escort1,207.792419,27.127676,49.044273
172,-200.5,20,0,0.2907,28.3,0.42225,2,0,1,2,0,1,0,6,7,1,radar_off,Escort2,101.837761,27.643139,50.374722
173,-332.48,157,1,0.2948,153.76,0.42014,7,7,10,41,4,11,4,35,33,5,attack_slot_0,LandStrike 1,221.297867,27.273497,52.039398
174,-158.54,90,1,0.2989,96.39,0.41804,3,1,9,23,5,5,3,15,18,8,attack_slot_0,LandStrike 1,209.934982,27.266087,51.722759
175,-279.6,67,0,0.2971,77.55,0.41595,6,4,3,4,3,3,2,16,24,2,radar_off,Escort1,164.461655,25.324295,49.481022
176,-144.18,68,1,0.3011,78.56,0.41387,3,1,5,6,6,4,1,28,11,3,radar_on,Escort1,199.436783,25.459873,48.872383
177,-460.1,174,1,0.3051,170.11,0.4118,4,9,16,56,9,4,9,44,13,10,attack_slot_0,LandStrike 1,181.855743,26.028708,49.188702
178,-241.1,20,0,0.3034,24.44,0.40974,1,1,0,3,3,1,1,4,5,1,radar_off,Escort2,143.127228,25.630413,48.921135
179,-189.8,102,1,0.3073,98.27,0.40769,3,9,3,54,3,2,7,8,6,7,attack_slot_0,LandStrike 1,141.223511,26.72859,51.56015
180,-223.6,25,0,0.3056,26.43,0.40565,0,1,2,2,0,0,2,9,7,2,radar_on,Escort2,223.370544,25.848112,50.478527
181,-268.7,70,0,0.3039,64.89,0.40362,3,3,8,3,3,4,0,25,16,5,radar_on,Escort1,196.576355,26.715475,52.448292
182,-101.56,83,1,0.3077,83.57,0.40161,4,6,1,13,0,4,5,34,12,4,radar_on,LandStrike 1,109.98526,26.819801,51.426983
183,-136.64,84,1,0.3115,91.62,0.3996,4,4,1,18,2,7,3,26,16,3,radar_on,LandStrike 1,168.80661,27.132307,51.324928
184,-244.5,23,0,0.3098,28.14,0.3976,1,2,0,2,0,0,3,6,7,2,radar_off,Escort2,232.615402,27.242182,50.317062
185,-1006.301,242,0,0.3081,246.29,0.39561,7,7,10,67,18,13,12,33,64,11,attack_slot_0,LandStrike 1,189.480164,26.834953,51.929371
186,-297.4,163,1,0.3118,160.32,0.39363,14,6,5,43,5,8,4,29,41,8,attack_slot_0,LandStrike 1,157.792847,27.146646,51.64724
